iter	Passed	Remaining
0	143	143364
1	144	71957
2	144	48123
3	145	36203
4	146	29056
5	146	24292
6	147	20881
7	147	18322
8	148	16330
9	148	14736
10	149	13437
11	150	12353
12	150	11443
13	151	10674
14	152	9999
15	153	9410
16	153	8889
17	154	8426
18	155	8007
19	155	7629
20	156	7285
21	156	6972
22	157	6685
23	157	6422
24	158	6180
25	158	5955
26	159	5747
27	160	5562
28	160	5382
29	161	5214
30	161	5060
31	162	4913
32	162	4774
33	163	4644
34	163	4520
35	164	4405
36	165	4303
37	166	4203
38	166	4105
39	167	4014
40	168	3929
41	168	3845
42	169	3764
43	169	3688
44	170	3614
45	170	3543
46	171	3475
47	171	3409
48	172	3352
49	173	3293
50	173	3234
51	174	3178
52	174	3124
53	175	3072
54	175	3022
55	176	2973
56	176	2926
57	177	2881
58	177	2837
59	178	2801
60	179	2762
61	180	2724
62	180	2688
63	181	2652
64	182	2619
65	182	2586
66	183	2554
67	184	2522
68	184	2491
69	185	2460
70	185	2430
71	186	2401
72	187	2375
73	187	2348
74	188	2321
75	188	2294
76	189	2268
77	189	2242
78	190	2218
79	190	2194
80	191	2171
81	191	2148
82	192	2123
83	192	2101
84	193	2081
85	193	2061
86	194	2041
87	195	2021
88	195	2003
89	196	1986
90	197	1969
91	197	1951
92	198	1933
93	198	1915
94	199	1898
95	199	1882
96	200	1866
97	201	1851
98	201	1835
99	202	1821
100	203	1808
101	204	1796
102	204	1782
103	205	1769
104	206	1755
105	206	1742
106	207	1729
107	207	1716
108	208	1706
109	209	1695
110	210	1687
111	211	1675
112	212	1664
113	212	1653
114	213	1643
115	214	1632
116	214	1620
117	215	1610
118	215	1599
119	216	1587
120	217	1576
121	217	1564
122	217	1554
123	218	1543
124	219	1533
125	219	1522
126	219	1512
127	220	1502
128	221	1493
129	221	1483
130	222	1473
131	222	1464
132	223	1455
133	223	1447
134	224	1438
135	225	1429
136	225	1421
137	226	1415
138	227	1407
139	227	1399
140	228	1391
141	228	1382
142	229	1374
143	229	1366
144	230	1358
145	230	1351
146	231	1343
147	232	1336
148	232	1329
149	233	1322
150	233	1315
151	234	1308
152	235	1301
153	235	1294
154	236	1287
155	236	1280
156	237	1275
157	238	1269
158	239	1269
159	240	1264
160	241	1257
161	242	1252
162	242	1247
163	244	1244
164	245	1240
165	245	1235
166	246	1229
167	247	1223
168	247	1218
169	248	1212
170	248	1206
171	249	1200
172	249	1194
173	250	1189
174	251	1183
175	251	1178
176	252	1173
177	252	1168
178	253	1164
179	254	1158
180	254	1153
181	255	1148
182	256	1144
183	257	1142
184	258	1137
185	258	1132
186	259	1128
187	260	1123
188	260	1118
189	261	1113
190	261	1108
191	262	1103
192	262	1098
193	263	1093
194	263	1089
195	264	1084
196	264	1079
197	265	1075
198	265	1070
199	266	1066
200	267	1062
201	268	1059
202	269	1058
203	270	1054
204	270	1050
205	271	1046
206	272	1042
207	272	1038
208	273	1034
209	273	1030
210	274	1025
211	274	1021
212	275	1017
213	276	1013
214	276	1009
215	277	1005
216	277	1001
217	278	997
218	278	993
219	279	989
220	279	985
221	280	981
222	280	978
223	281	974
224	282	972
225	282	968
226	283	965
227	284	962
228	284	959
229	285	955
230	286	952
231	286	949
232	287	945
233	287	942
234	288	938
235	288	935
236	289	931
237	289	928
